Departamento;Categoria;Subcategoria;Segmento;Subsegmento;Qtd_Codigos_Barras
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Mista Normal;Dermo Facial Mista Ou Normal Demaquilantes;3
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Mista Normal;Dermo Facial Mista Ou Normal Sabonete Espuma;1
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Mista Normal;Dermo Facial Mista Ou Normal Sabonete Gel;4
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Mista Normal;Dermo Facial Mista Ou Normal Sabonete Liquido;4
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa  Agua Micelar;8
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa  Tônicos;1
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Acneica Gel;6
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Esfoliantes;6
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Mascara;3
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Sabonete Barra;21
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Sabonete Espuma;10
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Sabonete Gel;35
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Oleosa Acneica;Dermo Facial Oleosa Sabonete Liquido;37
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Seca;Dermo Facial Pele Seca Agua Micelar;3
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Seca;Dermo Facial Pele Seca Lenços;1
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Seca;Dermo Facial Pele Seca Sabonete Barra;3
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Seca;Dermo Facial Pele Seca Sabonete Liquido;5
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensivel  Agua Micelar;11
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensivel  Gel;1
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensivel  Tônicos;1
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensivel Sabonete Espuma;2
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensivel Sabonete Liquido;7
Dermocosmeticos;Dermo Facial;Dermo Facial Limpeza;Dermo Pele Sensível;Dermo Facial Pele Sensível Loçao;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Ampolas Anti-Idade;5
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Creme Anti-Idade;36
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Creme Manchas;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Gel Anti-Idade;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Locao Anti-Idade;5
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Oleosa Esfoliantes;1
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Oleosa Sabonete Gel;3
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Facial Sérum Anti-Idade;60
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Anti-Idade;Dermo Olhos Anti-Idade;25
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Facial Creme Hidratação;39
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Facial Locao Hidratação;5
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Facial Spray Hidratação;1
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Facial Sérum Hidratação;10
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Facial Águas Especificos;11
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Hidratação;Dermo Labial Especificos;10
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Creme Manchas;3
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Esfoliante Manchas;3
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Gel  De Limpeza Manchas;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Gel Manchas;1
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Locao Manchas;5
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Facial Sérum Manchas;10
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Manchas;Dermo Olhos Manchas;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Dermo Facial Creme Especificos;6
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Dermo Facial Gel Especificos;11
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Dermo Facial Loção Especificos;1
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Dermo Facial Oleosa Tônicos;1
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Dermo Facial Sérum Especificos;2
Dermocosmeticos;Dermo Facial;Dermo Facial Tratamento;Dermo Facial Oleosa Acneica;Sabonete/Rosto E Corpo;1
Dermocosmeticos;Dermo Infantil;Dermo Cuidados Específicos;Dermo Hidratação Infantil;Dermo Infantil Hidratante Loção;8
Dermocosmeticos;Dermo Infantil;Dermo Cuidados Específicos;Dermo Infantil Troca De Fraldas;Dermo Infantil Pomada Assaduras;3
Dermocosmeticos;Dermo Infantil;Dermo Cuidados Específicos;Dermo Pós Banho;Dermo Infantil Talco Em Creme;2
Dermocosmeticos;Dermo Infantil;Dermo Infantil Limpeza;Dermo Infantil Banho;Dermo Infantil Sabonete Barra;1
Dermocosmeticos;Dermo Infantil;Dermo Infantil Limpeza;Dermo Infantil Banho;Dermo Infantil Sabonete Liquido;1
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 30fps;Dermo Solar Corporal Loção;5
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 30fps;Dermo Solar Corporal Spray;2
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 50fps;Dermo Solar Corporal Loção;5
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 50fps;Dermo Solar Corporal Spray;6
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 99fps;Dermo Solar Corporal Loção;14
Dermocosmeticos;Dermo Solar;Dermo Solar Corporal;Dermo Sol Corporal Ate 99fps;Dermo Solar Corporal Spray;1
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Creme Com Cor;6
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Gel;1
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Gel Creme;15
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Gel Creme Com Cor;8
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Loção;2
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Mousse Com Cor;3
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Pó;6
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 30fps;Dermo Solar Facial Sérum;1
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Creme;11
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Creme Com Cor;5
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Creme Compacto;2
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Fluid;3
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Gel Creme;4
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Gel Creme Com Cor;20
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Loção;20
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Loção Com Cor;5
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Mousse;2
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 50fps;Dermo Solar Facial Pó;10
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Bastao Color;2
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Bastao Com Cor;3
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Creme;7
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Creme Com Cor;31
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Gel Creme;21
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Gel Creme Com Cor;27
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Loção;7
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Sol Facial Ate 99fps;Dermo Solar Facial Loção Com Cor;1
Dermocosmeticos;Dermo Solar;Dermo Solar Facial;Dermo Solar Kids Ate Fps50;Dermo Solar Corporal Loção;1
Dermocosmeticos;Dermo Solar;Dermo Solar Infantil;Dermo Solar Kids Ate Fps30;Dermo Solar Kids Loção;1
Dermocosmeticos;Dermo Solar;Dermo Solar Infantil;Dermo Solar Kids Ate Fps50;Dermo Solar Kids Loção;2
Dermocosmeticos;Dermo Solar;Dermo Solar Infantil;Dermo Solar Kids Ate Fps99;Dermo Solar Kids Loção;4
Dermocosmeticos;Nutricosmetico;Pele Cabelos  E Unha;Pele Cabelos  E Unha;Pele Cabelos  E Unha;54
Dermocosmeticos;Nutricosmetico;Rejuvenecedor;Rejuvenecedor;Redutor De Medidas;1
Dermocosmeticos;Nutricosmetico;Rejuvenecedor;Rejuvenecedor;Rejuvenecedor;25
Fitness;Acessorios Fitness;Orteses Esportivas;Complementos Fitness;Faixas Esportivas;9
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Membros Inferiores;Bandagem Elastica Sport;1
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Membros Inferiores;Joelheira Esportiva;5
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Membros Inferiores;Tornozeleira;12
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Membros Superiores;Cotoveleira Esportiva;5
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Membros Superiores;Luvas Esportivas;4
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Tronco;Cinta Esportiva;6
Fitness;Acessorios Fitness;Orteses Esportivas;Protecao Tronco;Faixa Abdominal;2
Fitness;Acessorios Fitness;Recipientes Esportivos;Coqueteleiras;Coqueteleiras 1 Dose;4
Fitness;Acessorios Fitness;Recipientes Esportivos;Coqueteleiras;Coqueteleiras 2 Doses;2
Fitness;Acessorios Fitness;Recipientes Esportivos;Coqueteleiras;Shakeira Esportiva;1
Fitness;Acessorios Fitness;Recipientes Esportivos;Galoes Esportivos;Galaoes 2lts;1
Fitness;Nutricao Esportiva;Ganho De Massa;Hipercaloricos;Hipercalorico;50
Fitness;Nutricao Esportiva;Ganho De Massa;Hipercaloricos;Maltodextrina;10
Fitness;Nutricao Esportiva;Ganho De Massa;Hipercaloricos;Whey Protein/Cafeína/Vitaminas E Minerais;4
Fitness;Nutricao Esportiva;Ganho De Massa;Hipercaloricos;Whey Proteina;126
Fitness;Nutricao Esportiva;Ganho De Massa;Proteinas;Creatina;22
Fitness;Nutricao Esportiva;Ganho De Massa;Proteinas;Glutamina;14
Fitness;Nutricao Esportiva;Ganho De Massa;Proteinas;Proteinas;21
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Detox;6
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Emagrecedor Capsulas;9
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Oleo De Cartamo;7
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Oleo De Coco;3
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Pasta De Amendoim;7
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Picolinato Cromo;3
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Emagrecedores;Shake Emagrecedor;11
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Pre-Treino;Cafeina;16
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Pre-Treino;Carnitina;14
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Pre-Treino;Combo Energetico;37
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Pre-Treino;Guarana;3
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Reposicao Energia;Amino Bcaa;24
Fitness;Nutricao Esportiva;Pre-Treino Emagrecedores;Reposicao Energia;Outros Repositores Energia;41
Higiene Pessoal;Banho;Acessorios Banho;Esponjas E Escovas;Bucha Vegetal Banho;4
Higiene Pessoal;Banho;Acessorios Banho;Esponjas E Escovas;Escova Banho;4
Higiene Pessoal;Banho;Acessorios Banho;Esponjas E Escovas;Esponja Banho;14
Higiene Pessoal;Banho;Acessorios Banho;Esponjas E Escovas;Kit De Banho;1
Higiene Pessoal;Banho;Acessorios Banho;Saboneteira E Touca;Saboneteiras;2
Higiene Pessoal;Banho;Acessorios Banho;Saboneteira E Touca;Touca Banho;11
Higiene Pessoal;Banho;Gel De Banho;Gel De Banho;Oleo De Banho;4
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Kit Sabonete Barra;18
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Sabonete Bacteriano;36
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Sabonete Esfoliante;4
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Sabonete Glicerina;25
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Sabonete Hidratante;24
Higiene Pessoal;Banho;Sabonetes;Sabonete Barra;Sabonete Perfumado;118
Higiene Pessoal;Banho;Sabonetes;Sabonete Folhas;Sabonete Folhas;2
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Kit Sabonete Liquido/Loçao Hidratante;3
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Antibacteriano;63
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Esfoliante;7
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Maos;14
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Masculino;4
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Refil;33
Higiene Pessoal;Banho;Sabonetes;Sabonete Liquido;Sabonete Liquido Shower;125
Higiene Pessoal;Barbearia;Aparelho Barbear;Aparelho De Barbear;Aparelho De Barbear Eletrico;3
Higiene Pessoal;Barbearia;Aparelho Barbear;Aparelho De Barbear Descartavel;Aparelho De Barbear Descartavel;43
Higiene Pessoal;Barbearia;Aparelho Barbear;Aparelho De Barbear Sistema;Aparelho De Barbear Sistema;17
Higiene Pessoal;Barbearia;Aparelho Barbear;Aparelho De Barbear Sistema;Aparelho De Barbear Sistema Kit;1
Higiene Pessoal;Barbearia;Carga E Lamina Barbear;Carga;Carga;13
Higiene Pessoal;Barbearia;Carga E Lamina Barbear;Carga;Carga Promocional;4
Higiene Pessoal;Barbearia;Carga E Lamina Barbear;Lamina Barbear;Lamina Barbear;4
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Balm Para Barba;1
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Gel  Barbear;1
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Hidratante P/Barba;2
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Pos Barba;40
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Pos Barbear;3
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Sabonete Barbear;1
Higiene Pessoal;Barbearia;Cuidados Barbearia;Cuidados Barba;Shampoo Barbear;6
Higiene Pessoal;Barbearia;Cuidados Barbearia;Preparo Barbear;Acessorio Barbear;3
Higiene Pessoal;Barbearia;Cuidados Barbearia;Preparo Barbear;Creme Barbear;7
Higiene Pessoal;Barbearia;Cuidados Barbearia;Preparo Barbear;Espuma Barbear;19
Higiene Pessoal;Barbearia;Cuidados Barbearia;Preparo Barbear;Gel  Barbear;9
Higiene Pessoal;Barbearia;Cuidados Barbearia;Preparo Barbear;Pack Promocional;11
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Externo;Absorvente Externo Com Abas;41
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Externo;Absorvente Externo Noturno;11
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Externo;Absorvente Externo Sem Abas;9
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Interno;Absorvente Interno Medio;7
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Interno;Absorvente Interno Mini;3
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Absorvente Interno;Absorvente Interno Super;9
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Protetor Diario;40 Unidades;13
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Protetor Diario;60 Unidades;2
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Protetor Diario;80 Unidades;5
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Protetor Diario;Ate 14 Unidades;1
Higiene Pessoal;Cuidado Intimo Feminino;Absorvente;Protetor Diario;Ate 15 Unidades;11
Higiene Pessoal;Cuidado Intimo Feminino;Cuidados Ginecologicos;Creme Ginecologico;Creme Ginecologico;3
Higiene Pessoal;Cuidado Intimo Feminino;Cuidados Ginecologicos;Creme Ginecologico;Gel Hid Vaginal;2
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Coletor Mestrual;Aplicador Mestrual;1
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Coletor Mestrual;Coletor Mestrual;10
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Condutor Urinario;Condutor Urinario;1
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Desodorante Intimo;Colonia Intima;3
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Desodorante Intimo;Desodorante Intimo;5
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Ducha Ginecologica;Ducha Ginecologica;3
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Lenço Intimo;Lenço Intimo;5
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Sabonete Intimo;Kit Sab Intimo Feminino;1
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Sabonete Intimo;Sabonete Intimo;62
Higiene Pessoal;Cuidado Intimo Feminino;Higiene Intima Feminina;Sutia;Sutia Adesivo;2
Higiene Pessoal;Depilacao;Aparelhos E Laminas;Aparelho Descartavel;Aparelho Descartavel;22
Higiene Pessoal;Depilacao;Aparelhos E Laminas;Aparelho Descartavel;Aparelho Descartavel Promo;5
Higiene Pessoal;Depilacao;Aparelhos E Laminas;Aparelho Sistema;Aparelho Sistema;2
Higiene Pessoal;Depilacao;Aparelhos E Laminas;Carga Sistema;Carga Sistema;7
Higiene Pessoal;Depilacao;Aparelhos E Laminas;Pinca Depilatoria;Pinca Depilatoria;17
Higiene Pessoal;Depilacao;Depilacao Adesiva;Cera Depilacao;Cera Depilacao Corpo;11
Higiene Pessoal;Depilacao;Depilacao Adesiva;Creme Depilatorio;Creme Depilatorio;1
Higiene Pessoal;Depilacao;Depilacao Adesiva;Folha Depilacao;Folha Depilacao Corporal;9
Higiene Pessoal;Depilacao;Depilacao Adesiva;Folha Depilacao;Folha Depilacao Facial;9
Higiene Pessoal;Depilacao;Depilacao Adesiva;Lenço Depilatorio;Lenço Depilatorio;6
Higiene Pessoal;Depilacao;Depilacao Adesiva;Papel Depilatorio;Papel Depilatorio;1
Higiene Pessoal;Depilacao;Depilacao Cera;Aparelho Depilatorio;Aparelho Eletrico;2
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Microondas;2
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Natural;2
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Negra;2
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Quente;6
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Refil;2
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Rollon;3
Higiene Pessoal;Depilacao;Depilacao Cera;Cera Depilatoria;Cera Tradicional;23
Higiene Pessoal;Depilacao;Locao Depilatoria;Pos Depilatorio;Gel Pos Depilatorio;1
Higiene Pessoal;Depilacao;Locao Depilatoria;Pos Depilatorio;Oleo Pos Depilatorio;3
Higiene Pessoal;Depilacao;Locao Depilatoria;Pre Depilatorio;Creme Protetor Depilatorio;2
Higiene Pessoal;Depilacao;Locao Depilatoria;Pre Depilatorio;Limpeza Depilatoria;3
Higiene Pessoal;Depilacao;Locao Depilatoria;Pre Depilatorio;Loção Depilatoria;1
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Aerosol;130
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Clinical;14
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Creme;18
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Rollon;53
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Rollon Vegano;6
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Feminino Spray;1
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Feminino;Desodorante Pes Po;1
Higiene Pessoal;Desodorantes;Desodorante Feminino;Desodorante Pes;Desodorante Pes Po;1
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Aerosol;113
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Barra;1
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Clinical;8
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Creme;5
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Rollon;41
Higiene Pessoal;Desodorantes;Desodorante Masculino;Desodorante Masculino;Desodorante Masculino Spray;6
Higiene Pessoal;Desodorantes;Desodorante Pes;Desodorante Pes;Desodorante Pes Aerosol;4
Higiene Pessoal;Desodorantes;Desodorante Pes;Desodorante Pes;Desodorante Pes Jato Po;3
Higiene Pessoal;Desodorantes;Desodorante Pes;Desodorante Pes;Desodorante Pes Po;4
Higiene Pessoal;Higiene Bucal;Equipamentos Bucal;Irrigador Oral;Irrigador Bucal;1
Higiene Pessoal;Higiene Bucal;Equipamentos Bucal;Irrigador Oral;Irrigador Bucal Portatil;1
Higiene Pessoal;Higiene Bucal;Higiene Bucal Adulto;Acessorio Higiene Bucal;Acessorios Para Escova;2
Higiene Pessoal;Higiene Bucal;Higiene Bucal Adulto;Enxaguante Bucal Adulto;Aromatizador Bucal;4
Higiene Pessoal;Higiene Bucal;Higiene Bucal Adulto;Escova Dental Adulto;Escova Dental Tradicional;2
Higiene Pessoal;Higiene Bucal;Higiene Bucal Adulto;Fio E Fita Dental;Fio Dental;2
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Acessorio Higiene Bucal;Estojo Escova Dental;4
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Acessorio Higiene Bucal;Kit Higiene Bucal;1
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Acessorio Higiene Bucal;Limpador De Lingua;2
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Acessorio Higiene Bucal;Protetor Cerdas Escova;1
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Creme Dental Kit;23
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Creme Dental Organico;5
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Creme Dental Sensibilidade;45
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Creme Dental Terapeutico;17
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Creme Dental Tradicional;96
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Creme Dental;Gel Dental Liquido;1
Higiene Pessoal;Higiene Bucal;Higiene Bucal Diaria;Enxaguante Bucal;Enxaguante Bucal Kit;2
